Disease,Category,Symptom,Type,
CHD2,Communication,Speech impairment,,
CHD2,Communication,Social communication difficulties,,
CHD2,Communication,Prominent language impairment,,
CHD2,Communication,Expressive language differences,,
CHD2,Communication,Receptive language difficulties,,
CHD2,Communication,Delayed language,,
CHD2,Neurological,Epilepsy,Absence seizures,
CHD2,Neurological,Epilepsy,Atypical myoclonic absence seizures,
CHD2,Neurological,Epilepsy,DEE,
CHD2,Neurological,Epilepsy,Dravet syndrome,
CHD2,Neurological,Epilepsy,Eyelid myoclonia with absence seizures,
CHD2,Neurological,Epilepsy,Early-onset absence epilepsy,
CHD2,Neurological,Epilepsy,Febrile seizures,
CHD2,Neurological,Epilepsy,Genetic generalized epilepsy,
CHD2,Neurological,Epilepsy,Generalized tonic-clonic epilepsy,
CHD2,Neurological,Epilepsy,Idiopathic photosensitive occipital epilepsy,
CHD2,Neurological,Epilepsy,Juvenile myoclonic epilepsy,
CHD2,Neurological,Epilepsy,Lennox-Gastaut syndrome,
CHD2,Neurological,Epilepsy,Myoclonic atonic epilepsy,
CHD2,Neurological,Epilepsy,Myoclonic epilepsy,
CHD2,Neurological,Epilepsy,Malignant migrating focal seizures in infancy,
CHD2,Neurological,Epilepsy,West syndrome,
CHD2,Neurological,Epilepsy,Epileptic spasm,
CHD2,Neurological,Epilepsy,Status epilepticus,
CHD2,Neurological,Epilepsy,Atonic seziures,
CHD2,Neurological,Epilepsy,Clonic seziures,
CHD2,Neurological,Epilepsy,Tonic seziures,
CHD2,Neurological,Epilepsy,Generalized tonic seizures,
CHD2,Neurological,Epilepsy,Focal seizures,
CHD2,Neurological,Epilepsy,Focal imparied awareness seizures,
CHD2,Neurological,Epilepsy,Generalized seizures,
CHD2,Neurological,Epilepsy,Generalized myoclonic-absence seizures,
CHD2,Neurological,Epilepsy,Generalized myoclonic-atonic seizures,
CHD2,Neurological,Epilepsy,Generalized myoclonic-atonic absence seizures,
CHD2,Neurological,Epilepsy,Generalized myoclonic-clonic seizures,
CHD2,Neurological,Epilepsy,Generalized tonic-clonic seizures,
CHD2,Neurological,Epilepsy,Jeavons syndrome,
CHD2,Neurological,Epilepsy,Myoclonic–atonic absence seizures,
CHD2,Neurological,Epilepsy,Non-specific epilepsy encephalopathy,
CHD2,Neurological,Epilepsy,Unclassified seizures,
CHD2,Neurological,Autonomic storms,,
CHD2,Neurological,Photo-sensitivity,,
CHD2,Neurological,Fever sensitivities,,
CHD2,Neurological,Abnormal muscle tone,Hypotonia,
CHD2,Neurological,Auditory neuropathy,,
CHD2,Neurological,Circadian rhythm abnormality,,
CHD2,Neurological,Abnormal EEG,,
CHD2,Neurological,Abnormal MRI,,
CHD2,Behavioral,ASD,,
CHD2,Behavioral,Behavior problems,Aggressive behavior,
CHD2,Behavioral,Behavior problems,Provocatory behavior,
CHD2,Behavioral,ADHD,,
CHD2,Behavioral,Hyperactivity,,
CHD2,Cognition,Intellectual disability,Severe ID,
CHD2,Cognition,Intellectual disability,Moderate ID,
CHD2,Cognition,Poor judgement,,
CHD2,Cognition,Learning disability,,
CHD2,Cognition,Intellectual regression,,
CHD2,Motor,Motor delay,,
CHD2,Motor,Psychomotor regression,,
CHD2,Sleep,Sleep disturbances,,
CHD2,Musculoskeletal,Growth abnormality,Growth delay,
CHD2,Musculoskeletal,Growth abnormality,Overgrowth,
CHD2,Musculoskeletal,Growth abnormality,Short stature,
CHD2,Musculoskeletal,Growth abnormality,Tall stature,
CHD2,Musculoskeletal,Microcephaly,,
CHD2,Musculoskeletal,Facial dysmorphisms,,
CHD2,Musculoskeletal,Scoliosis,,
CHD2,Musculoskeletal,Abnormal gait,,
CHD2,Musculoskeletal,Ataxia,,
CHD2,Gastrointestinal,Feeding Issues,,
CHD2,Gastrointestinal,Generalized GI issues,,
CHD2,Visual,Visual disability,,
CHD2,Visual,Strabismus,,
CHD2,Emotional,Easily angered,,
CHD2,Emotional,Aggression,,
CHD2,Emotional,Easily excitable,,
CHD2,Other,Failure to thrive,,
CHD2,Other,Underweight,,
CHD2,Other,Obese,,
