Disease,Category,Symptom,Type,Prevalence
CHD2-RD,Communication,Speech impairment,,20%
CHD2-RD,Communication,Social communication difficulties,,20%
CHD2-RD,Communication,Prominent language impairment,,20%
CHD2-RD,Communication,Expressive language differences,,20%
CHD2-RD,Communication,Receptive language difficulties,,20%
CHD2-RD,Communication,Delayed language,,71%
CHD2-RD,Neurological,Epilepsy,Absence seizures,4%
CHD2-RD,Neurological,Epilepsy,Atypical myoclonic absence seizures,6%
CHD2-RD,Neurological,Epilepsy,DEE,6%
CHD2-RD,Neurological,Epilepsy,Dravet syndrome,10%
CHD2-RD,Neurological,Epilepsy,Eyelid myoclonia with absence seizures,6%
CHD2-RD,Neurological,Epilepsy,Early-onset absence epilepsy,2%
CHD2-RD,Neurological,Epilepsy,Febrile seizures,8%
CHD2-RD,Neurological,Epilepsy,Genetic generalized epilepsy,4%
CHD2-RD,Neurological,Epilepsy,Generalized tonic-clonic epilepsy,2%
CHD2-RD,Neurological,Epilepsy,Idiopathic photosensitive occipital epilepsy,4%
CHD2-RD,Neurological,Epilepsy,Juvenile myoclonic epilepsy,4%
CHD2-RD,Neurological,Epilepsy,Lennox-Gastaut syndrome,20%
CHD2-RD,Neurological,Epilepsy,Myoclonic atonic epilepsy,18%
CHD2-RD,Neurological,Epilepsy,Myoclonic epilepsy,2%
CHD2-RD,Neurological,Epilepsy,Malignant migrating focal seizures in infancy,2%
CHD2-RD,Neurological,Epilepsy,West syndrome,2%
CHD2-RD,Neurological,Epilepsy,Epileptic spasm,3%
CHD2-RD,Neurological,Epilepsy,Status epilepticus,8%
CHD2-RD,Neurological,Epilepsy,Atonic seziures,19%
CHD2-RD,Neurological,Epilepsy,Clonic seziures,3%
CHD2-RD,Neurological,Epilepsy,Tonic seziures,14%
CHD2-RD,Neurological,Epilepsy,Generalized tonic seizures,3%
CHD2-RD,Neurological,Epilepsy,Focal seizures,10%
CHD2-RD,Neurological,Epilepsy,Focal imparied awareness seizures,2%
CHD2-RD,Neurological,Epilepsy,Generalized seizures,5%
CHD2-RD,Neurological,Epilepsy,Generalized myoclonic-absence seizures,5%
CHD2-RD,Neurological,Epilepsy,Generalized myoclonic-atonic seizures,8%
CHD2-RD,Neurological,Epilepsy,Generalized myoclonic-atonic absence seizures,5%
CHD2-RD,Neurological,Epilepsy,Generalized myoclonic-clonic seizures,2%
CHD2-RD,Neurological,Epilepsy,Generalized tonic-clonic seizures,64%
CHD2-RD,Neurological,Epilepsy,Jeavons syndrome,2%
CHD2-RD,Neurological,Epilepsy,Myoclonic–atonic absence seizures,4%
CHD2-RD,Neurological,Epilepsy,Non-specific epilepsy encephalopathy,18%
CHD2-RD,Neurological,Epilepsy,Unclassified seizures,32%
CHD2-RD,Neurological,Autonomic storms,,25%
CHD2-RD,Neurological,Photo-sensitivity,,55%
CHD2-RD,Neurological,Fever sensitivities,,27%
CHD2-RD,Neurological,Abnormal muscle tone,Hypotonia,40%
CHD2-RD,Neurological,Auditory neuropathy,,10%
CHD2-RD,Neurological,Circadian rhythm abnormality,,5%
CHD2-RD,Neurological,Abnormal EEG,,96%
CHD2-RD,Neurological,Abnormal MRI,,89%
CHD2-RD,Behavioral,ASD,,41%
CHD2-RD,Behavioral,Behavior problems,Aggressive behaviors,96%
CHD2-RD,Behavioral,Behavior problems,Provocatory behavior,20%
CHD2-RD,Behavioral,ADHD,,20%
CHD2-RD,Behavioral,Hyperactivity,,50%
CHD2-RD,Cognition,Intellectual disability,Severe ID,65%
CHD2-RD,Cognition,Intellectual disability,Moderate ID,30%
CHD2-RD,Cognition,Poor judgement,,40%
CHD2-RD,Cognition,Learning disability,,40%
CHD2-RD,Cognition,Intellectual regression,,26%
CHD2-RD,Motor,Motor delay,Delayed psychomotor development,71%
CHD2-RD,Motor,Psychomotor regression,,26%
CHD2-RD,Sleep,Sleep disturbances,,20%
CHD2-RD,Musculoskeletal,Growth abnormality,Growth delay,35%
CHD2-RD,Musculoskeletal,Growth abnormality,Overgrowth,10%
CHD2-RD,Musculoskeletal,Growth abnormality,Short stature,10%
CHD2-RD,Musculoskeletal,Growth abnormality,Tall stature,10%
CHD2-RD,Musculoskeletal,Microcephaly,,35%
CHD2-RD,Musculoskeletal,Facial dysmorphisms,,60%
CHD2-RD,Musculoskeletal,Scoliosis,,8%
CHD2-RD,Musculoskeletal,Abnormal gait,,11%
CHD2-RD,Musculoskeletal,Ataxia,,11%
CHD2-RD,Gastrointestinal,Feeding Issues,,10%
CHD2-RD,Gastrointestinal,Generalized GI issues,,30%
CHD2-RD,Visual,Visual disability,,10%
CHD2-RD,Visual,Strabismus,,10%
CHD2-RD,Emotional,Easily angered,,50%
CHD2-RD,Emotional,Aggression,,60%
CHD2-RD,Emotional,Easily excitable,,50%
CHD2-RD,Other,Failure to thrive,,25%
CHD2-RD,Other,Underweight,,25%
CHD2-RD,Other,Obese,,10%
