Disease,Category,Symptom,Type,,
ASXL1,Communication,Speech Delay,,,
ASXL1,Communication,Minimal or complete lack of expressive language,,,
ASXL1,Neurological,Abnormal muscle tone,Hypotonia,,
ASXL1,Neurological,Seizures,,,
ASXL1,Neurological,Brain Abnormalities,Ventriculomegaly,,
ASXL1,Neurological,Brain Abnormalities,Delayed myelination,,
ASXL1,Neurological,Brain Abnormalities,Dandy-Walker Malformation,,
ASXL1,Neurological,Brain Abnormalities,Generalized atrophy,,
ASXL1,Neurological,Brain Abnormalities,Agenesis of Corpus Callousum,,
ASXL1,Neurological,Brain Abnormalities,Neuronal Migration Abnormalities,,
ASXL1,Behavioral,Autism,,,
ASXL1,Behavioral,Behavior Disturbance,,,
ASXL1,Behavioral,Self-Injurious Behavior,,,
ASXL1,Behavioral,Happy & Pleasant Demeanor,,,
ASXL1,Cognition,Severe/Profound Intellectual Disability,,,
ASXL1,Cognition,Developmental Delay,,,
ASXL1,Motor,Motor Delay,,,
ASXL1,Motor,Gross Motor Dysfunction,,,
ASXL1,Motor,Fine Motor Dysfunction,,,
ASXL1,Motor,Oral Motor Dysfunction,,,
ASXL1,Motor,Non-ambulatory,,,
ASXL1,Sleep,Obstructive Sleep Apnea,,,
ASXL1,Sleep,Irregular sleep/wake cycle,,,
ASXL1,Sleep,Sleep Disturbance,,,
ASXL1,Musculoskeletal,BOS Posture,,,
ASXL1,Musculoskeletal,Fixed Contractures,,,
ASXL1,Musculoskeletal,Trigonocephaly,,,
ASXL1,Musculoskeletal,Scoliosis,,,
ASXL1,Musculoskeletal,Craniofacial Abnormalities,Micro/retinognathia,,
ASXL1,Musculoskeletal,Craniofacial Abnormalities,Microcephaly,,
ASXL1,Musculoskeletal,Craniofacial Abnormalities,Cleft Palate,,
ASXL1,Musculoskeletal,Craniofacial Abnormalities,Gothic Arch,,
ASXL1,Musculoskeletal,Craniofacial Abnormalities,Hypertelorism,,
ASXL1,Musculoskeletal,Craniofacial Abnormalities,Prominent Eyes,,
ASXL1,Musculoskeletal,Craniofacial Abnormalities,Upslanting palebral fissures,,
ASXL1,Musculoskeletal,Craniofacial Abnormalities,Depressed Nasal Bridge,,
ASXL1,Musculoskeletal,Craniofacial Abnormalities,Anteverted Nares,,
ASXL1,Musculoskeletal,Craniofacial Abnormalities,Low Set Ears,,
ASXL1,Musculoskeletal,Craniofacial Abnormalities,Low Hairline,,
ASXL1,Musculoskeletal,Craniofacial Abnormalities,Prominent Forehead/hypoplastic supraorbital ridges,,
ASXL1,Musculoskeletal,Craniofacial Abnormalities,synophyrs,,
ASXL1,Musculoskeletal,Craniofacial Abnormalities,hypotonic face with full cheeks,,
ASXL1,Musculoskeletal,Congenital Dislocations,Hip and Radial Dislocations,,
ASXL1,Gastrointestinal,Feeding Difficulties,,,
ASXL1,Gastrointestinal,Frequent emesis,,,
ASXL1,Skin,Glabellar nevus flammeus/facial hemangioma,,,
ASXL1,Skin,Hypertrichosis,,,
ASXL1,Skin,Syndactyl,,,
ASXL1,Skin,Deep Palmar Creases,,,
ASXL1,Visual,Strabismus,,,
ASXL1,Visual,Myopia,,,
ASXL1,Visual,Retinal/Optic Nerve Abnormalities,colobomas,,
ASXL1,Visual,Retinal/Optic Nerve Abnormalities,retinal and optic nerve atrophy,,
ASXL1,Visual,Retinal/Optic Nerve Abnormalities,abnormal coloration of retina,,
ASXL1,Other,Growth Issues,Growth delay,,
ASXL1,Other,Growth Issues,IUGR,,
ASXL1,Other,Respiratory Distress,,,
ASXL1,Other,Neonatal Infections,,,
ASXL1,Other,Genital Abnormalities,,,
ASXL1,Other,Renal Abnormalities,,,
ASXL1,Other,Cardiac Abnormalities,,,
ASXL1,Other,Wilms Tumor,,,
ASXL1,Other,Urinary retention and recurrent urinary tract infections,,,
ASXL1,Other,Annular pancreas & gallstones,,,
ASXL1,Other,Increased risk for renal stones,,,
,,,,,
