Category,Symptom,Type,,,,,,
Communication,Alternative and/or augmentative communication devices used,,,,,,,
Communication,Apraxia,,,,,,,
Communication,"Non-verbal communication through the use of facial expression, body postures and gestures",,,,,,,
Communication,Reduced Communication Abilities,Expressive communication decreased,,,,,,
Communication,Reduced Communication Abilities,Receptive communication decreased,,,,,,
Communication,Sign language (a few),,,,,,,
Communication,Speech Disorder,Speech impediment (a few can speak),,,,,,
Communication,Verbal language (a few are verbal) ,,,,,,,
Communication,"Vocalizes but does not have full speech, verbal approximations",,,,,,,
Neurological,Ataxia,,,,,,,
Neurological,Circadian response abnormal,,,,,,,
Neurological,EEG abnormal (without seizures),,,,,,,
Neurological,Abnormal muscle tone,Hypertonia,,,,,,
Neurological,Abnormal muscle tone,Hypotonia,,,,,,
Neurological,MRI Abnormal,,,,,,,
Neurological,Seizures/Epilepsy,Febrile,,,,,,
Neurological,Seizures/Epilepsy,Staring,,,,,,
Neurological,Seizures/Epilepsy,Tonic,,,,,,
Neurological,Seizures/Epilepsy,Tonic-clonic,,,,,,
Neurological,Seizures/Epilepsy,Spasms,,,,,,
Neurological,Seizures/Epilepsy,Myoclonic,,,,,,
Neurological,Seizures/Epilepsy,Clonic,,,,,,
Neurological,Seizures/Epilepsy,Tremors,,,,,,
Neurological,Seizures/Epilepsy,Seizure-related death,,,,,,
Neurological,Seizures/Epilepsy,Stroke following Seizure,,,,,,
Neurological,Sensory Processing Difficulties,Visual processing difficulties,,,,,,
Neurological,Sensory Processing Difficulties,Auditory processing difficulties,,,,,,
Behavioral,Autism,,,,,,,
Behavioral,Autistic traits,,,,,,,
Behavioral,Easily excitable,,,,,,,
Behavioral,Eye contact abnormal,,,,,,,
Behavioral,Hand flapping or waving movements,,,,,,,
Behavioral,ADHD,Hyperactivity,,,,,,
Behavioral,ADHD,Impulsivity,,,,,,
Behavioral,"Maladaptive behaviors: biting, hair-pulling, pinching",,,,,,,
Behavioral,"Obsession or fascination with water and crinkly items, watching same show over and over",,,,,,,
Behavioral,PICA,,,,,,,
Behavioral,"Repetitive stereotypic behavior, falling behavior, head-banging, OCD",,,,,,,
Behavioral,"Restlessness, increased exploratory mobility",,,,,,,
Behavioral,"Self-injurious behaviors, biting self when agitated",,,,,,,
Behavioral,Self-stim - hands in the mouth,,,,,,,
Behavioral,Sensory-related,Sensory defensive,,,,,,
Behavioral,Sensory-related,Sensory seeking (includes mouthing fingers),,,,,,
