Category,Symptom,Type,Prevalence,,,,,
Communication,Alternative and/or augmentative communication devices used, ,75%,,,,,
Communication,Apraxia, ,52%,,,,,
Communication,"Non-verbal communication through the use of facial expression, body postures and gestures", ,45%,,,,,
Communication,Reduced Communication Abilities,Expressive communication decreased,45%,,,,,
Communication,Reduced Communication Abilities,Receptive communication decreased,40%,,,,,
Communication,Sign language (a few), ,15%,,,,,
Communication,Speech Disorder,Speech impediment (a few can speak),35%,,,,,
Communication,Verbal language (a few are verbal) , ,18%,,,,,
Communication,"Vocalizes but does not have full speech, verbal approximations", ,20%,,,,,
Neurological,Ataxia, ,80%,,,,,
Neurological,Circadian response abnormal, ,45%,,,,,
Neurological,EEG abnormal (without seizures), ,10%,,,,,
Neurological,Abnormal muscle tone,Hypertonia,50%,,,,,
Neurological,Abnormal muscle tone,Hypotonia,95%,,,,,
Neurological,MRI Abnormal, ,55%,,,,,
Neurological,Seizures/Epilepsy,Febrile,23%,,,,,
Neurological,Seizures/Epilepsy,Staring,69%,,,,,
Neurological,Seizures/Epilepsy,Tonic,38%,,,,,
Neurological,Seizures/Epilepsy,Tonic-clonic,43%,,,,,
Neurological,Seizures/Epilepsy,Spasms,23%,,,,,
Neurological,Seizures/Epilepsy,Myoclonic,15%,,,,,
Neurological,Seizures/Epilepsy,Clonic,15%,,,,,
Neurological,Seizures/Epilepsy,Tremors,30%,,,,,
Neurological,Seizures/Epilepsy,Seizure-related death,20%,,,,,
Neurological,Seizures/Epilepsy,Stroke following Seizure,20%,,,,,
Neurological,Sensory Processing Difficulties, ,45%,,,,,
Neurological,Sensory Processing Difficulties,Visual processing difficulties,33%,,,,,
Neurological,Sensory Processing Difficulties,Auditory processing difficulties,33%,,,,,
Behavioral,Autism, ,44%,,,,,
Behavioral,Autistic traits, ,44%,,,,,
Behavioral,Easily excitable, ,35%,,,,,
Behavioral,Eye contact abnormal, ,35%,,,,,
Behavioral,Hand flapping or waving movements, ,35%,,,,,
Behavioral,ADHD,Hyperactivity,40%,,,,,
Behavioral,ADHD,Impulsivity,40%,,,,,
Behavioral,"Maladaptive behaviors: biting, hair-pulling, pinching", ,40%,,,,,
Behavioral,"Obsession or fascination with water and crinkly items, watching same show over and over", ,35%,,,,,
Behavioral,PICA, ,35%,,,,,
Behavioral,"Repetitive stereotypic behavior, falling behavior, head-banging, OCD", ,35%,,,,,
Behavioral,"Restlessness, increased exploratory mobility", ,35%,,,,,
Behavioral,"Self-injurious behaviors, biting self when agitated", ,35%,,,,,
Behavioral,Self-stim - hands in the mouth, ,35%,,,,,
Behavioral,Sensory-related,Sensory defensive,35%,,,,,
Behavioral,Sensory-related,Sensory seeking (includes mouthing fingers),35%,,,,,
Behavioral,Abnormal social behaviors,Socially inappropriate - lacking social inhibition,35%,,,,,
Behavioral,Abnormal social behaviors,Socially interested in others (may be a limited extent),35%,,,,,
Behavioral,Transition problems: difficulty adapting to change, ,35%,,,,,
Behavioral,Unique manitpulation of hands and feet, ,35%,,,,,
Cognition,Attention deficit, ,40%,,,,,
Cognition,"Cognitive decline/regression in some domains, in some patients", ,40%,,,,,
Cognition,Cognitive disability, ,100%,,,,,
Cognition,Global developmental delay, ,70%,,,,,
Cognition,Judgement impaired - no sense of danger, ,35%,,,,,
Motor,Movement Disorder,Balance - unsteady,85%,,,,,
Motor,Movement Disorder,Dyspraxia - impaired ability to complete coordinated movements,70%,,,,,
Motor,Movement Disorder,Dystonia,50%,,,,,
Motor,Fatigue, ,70%,,,,,
Motor,Fine motor skills delayed/impaired, ,100%,,,,,
Motor,Gait abnormality, ,90%,,,,,
Motor,Gross motor skills delayed/impaired, ,100%,,,,,
Motor,Hand stereotypies, ,35%,,,,,
Motor,Non-Ambulatory (some), ,35%,,,,,
Motor,"Oral motor impairment: tongue thrusting, sucking and swallowing disorders, frequent drooling, excessive chewing, mouthing behaviors, and feeding difficulties", ,40%,,,,,
Motor,Propioceptive input abnormal, ,55%,,,,,
Motor,Regression in fine and gross motor skills with age, ,38%,,,,,
Motor,Repetitive movements, ,35%,,,,,
Motor,Spasticity, ,35%,,,,,
Sleep,Initiation and maintenance difficulties of sleep , ,70%,,,,,
Musculoskeletal,Ankle pronation (need for surgery and orthotics on ankle and foot), ,40%,,,,,
Musculoskeletal,"Craniofacial abnormalities (wide-set eyes, short filtturm, micrognathia, full lower lip, dysmorphic features)", ,40%,,,,,
Musculoskeletal,Dental issues (tooth deformities), ,40%,,,,,
Musculoskeletal,"Eye abnormalities (includes epicanthic folds, downslanting palpebral fissures, almond shaped eyes, short palprebal fissures,)", ,40%,,,,,
Musculoskeletal,Facial dysmorphia (includes lip abnormal), ,60%,,,,,
Musculoskeletal,Gracile bones, ,10%,,,,,
Musculoskeletal,"Hand and Foot abnormalities (arachnotidactyly fingers, curled fingers, Navicular bone drop, Calcaneal adduction)", ,35%,,,,,
Musculoskeletal,Hip dysplasia, ,35%,,,,,
Musculoskeletal,Joint laxity, ,15%,,,,,
Musculoskeletal,Kyphosis, ,4%,,,,,
Musculoskeletal,Lordosis, ,4%,,,,,
Musculoskeletal,Orthotics, ,10%,,,,,
Musculoskeletal,Osteopenia, ,10%,,,,,
Musculoskeletal,Osteoporosis, ,10%,,,,,
Musculoskeletal,"Scoliosis (Increased curve in spine, excessive lumbar curve)", ,33%,,,,,
Musculoskeletal,Stiffness, ,25%,,,,,
Musculoskeletal,Torticolis, ,25%,,,,,
Musculoskeletal,Microcephaly, ,30%,,,,,
Gastrointestinal,Constipation, ,50%,,,,,
Gastrointestinal,Drooling, ,20%,,,,,
Gastrointestinal,Incontinence, ,15%,,,,,
Gastrointestinal,"Leaky gut, unable to absorb nutrients", ,10%,,,,,
Gastrointestinal,Reflux, ,28%,,,,,
Gastrointestinal,Toilet-training delayed (but some are succesful), ,50%,,,,,
Gastrointestinal,Tube fed (a few patients), ,13%,,,,,
Gastrointestinal,Underweight, ,40%,,,,,
Skin,Hypopigmented, ,10%,,,,,
Skin,"Mottled skin (Lacy pattern on the skin, circulation issues, white circles)", ,10%,,,,,
Skin,"Raynaud's syndrome, chillblains", ,10%,,,,,
Skin,Sensitivity to heat and sun increased, ,30%,,,,,
Skin,"Sweating, absence", ,30%,,,,,
Skin,Temperature regulation poor, ,30%,,,,,
Visual,Cortical Visual Impairment (incliudes suspected but not proven), ,33%,,,,,
Visual,Light sensitivity increased, ,30%,,,,,
Visual,"Strabismus (abnormal eye movements, tracking difficulties)", ,54%,,,,,
Visual,"Visual impairment, nearsightedness", ,30%,,,,,
Visual,Visual-spatial issues (included depth perception), ,40%,,,,,
Emotional,Anxiety/ panic attacks, ,69%,,,,,
Emotional,Fear (increased), ,50%,,,,,
Emotional,Frustration, ,40%,,,,,
Emotional,Happy demeanor, ,30%,,,,,
Emotional,Irritability, ,40%,,,,,
Emotional,"Moody, Emotional dysregulation", ,50%,,,,,
Emotional,Neuropsychiatric issues (Bipolar disorder), ,70%,,,,,
Emotional,Physical contact seeking, ,45%,,,,,
Emotional,Sensory Processing Issues, ,33%,,,,,
